season,competition_scope,player_name,nationality,position,squad,age,born,appearances,starts,minutes,nineties,goals,assists,penalty_goals,penalty_attempts,own_goals,yellow_cards,red_cards,xg,npxg,xag,progressive_carries,progressive_passes,progressive_receives,shots,shots_on_target,passes_completed,passes_attempted,pass_accuracy,key_passes,crosses,tackles,tackles_won,interceptions,clearances,errors,touches,touches_att_pen,dribbles_attempted,dribbles_completed,carries,passes_into_final_third,carries_into_final_third,shot_creating_actions,goal_creating_actions,recoveries,fouls_committed,fouls_drawn,aerial_duels_won,aerial_duels_lost,clean_sheets,goals_conceded,saves,penalties_saved,source_dataset
2024-25,serie_a_league,Dany Mota,pt POR,"FW,MF",Monza,26.0,1998.0,31,24,2104,23.4,5,2,0,0,0.0,3,0,5.1,5.1,1.8,53.0,47.0,139.0,42.0,11.0,412.0,569.0,72.4,22.0,38.0,13.0,3.0,9.0,27.0,3.0,820.0,80.0,39.0,13.0,501.0,27.0,29.0,55.0,3.0,61.0,30.0,7.0,60.0,71.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Bob Murphy Omoregbe,it ITA,MF,Milan,20.0,2003.0,1,0,3,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Yunus Musah,us USA,"MF,FW",Milan,21.0,2002.0,29,19,1571,17.5,0,2,0,0,0.0,5,0,1.9,1.9,1.8,51.0,84.0,74.0,22.0,5.0,631.0,724.0,87.2,23.0,24.0,27.0,19.0,7.0,9.0,3.0,888.0,37.0,37.0,21.0,581.0,60.0,44.0,45.0,4.0,60.0,36.0,1.0,8.0,14.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Juan Musso,ar ARG,GK,Atalanta,30.0,1994.0,1,1,90,1.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,33.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,Football Players Stats 2024-2025
2024-25,serie_a_league,Kingstone Mutandwa,zm ZAM,"FW,MF",Cagliari,21.0,2003.0,6,0,127,1.4,0,0,0,0,0.0,0,0,0.4,0.4,0.0,1.0,0.0,7.0,4.0,0.0,19.0,28.0,67.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,3.0,1.0,25.0,1.0,1.0,1.0,0.0,6.0,7.0,1.0,3.0,4.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Obite N'Dicka,ci CIV,DF,Roma,24.0,1999.0,38,38,3420,38.0,0,1,0,0,0.0,2,0,1.0,1.0,0.7,29.0,107.0,5.0,18.0,5.0,2295.0,2492.0,92.1,8.0,0.0,32.0,26.0,33.0,150.0,2.0,2823.0,26.0,3.0,0.0,1734.0,124.0,19.0,33.0,3.0,134.0,37.0,0.0,61.0,49.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Konan N'dri,ci CIV,"FW,MF",Lecce,23.0,2000.0,11,2,306,3.4,0,0,0,0,0.0,0,0,0.5,0.5,0.2,16.0,2.0,22.0,9.0,2.0,45.0,67.0,67.2,6.0,13.0,3.0,3.0,1.0,0.0,0.0,122.0,9.0,20.0,7.0,78.0,1.0,13.0,13.0,0.0,7.0,7.0,3.0,1.0,3.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Michel Ndary Adopo,fr FRA,MF,Cagliari,24.0,2000.0,35,27,2409,26.8,1,1,0,0,0.0,5,1,1.1,1.1,2.3,20.0,106.0,61.0,20.0,4.0,813.0,979.0,83.0,19.0,8.0,55.0,32.0,27.0,25.0,0.0,1222.0,32.0,42.0,19.0,656.0,90.0,21.0,50.0,5.0,135.0,29.0,0.0,29.0,24.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Cher Ndour,it ITA,"MF,DF",Fiorentina,20.0,2004.0,9,4,406,4.5,0,0,0,0,0.0,1,0,0.1,0.1,0.0,12.0,17.0,26.0,4.0,0.0,184.0,227.0,81.1,1.0,7.0,4.0,1.0,2.0,7.0,1.0,265.0,8.0,4.0,2.0,155.0,15.0,7.0,10.0,0.0,20.0,6.0,1.0,14.0,14.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Dan Ndoye,ch SUI,FW,Bologna,23.0,2000.0,30,26,2143,23.8,8,4,2,2,0.0,4,0,7.0,5.4,3.8,132.0,74.0,231.0,50.0,17.0,519.0,704.0,73.7,27.0,44.0,26.0,19.0,9.0,4.0,0.0,1021.0,105.0,96.0,37.0,755.0,39.0,54.0,88.0,9.0,89.0,23.0,15.0,14.0,21.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Victor Nelsson,dk DEN,DF,Roma,25.0,1998.0,4,1,187,2.1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,106.0,120.0,88.3,0.0,0.0,5.0,4.0,2.0,9.0,0.0,141.0,2.0,1.0,1.0,66.0,7.0,0.0,0.0,0.0,4.0,2.0,0.0,7.0,2.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,David Neres,br BRA,FW,Napoli,27.0,1997.0,28,13,1283,14.3,2,4,0,0,0.0,1,0,2.7,2.7,3.5,73.0,32.0,143.0,29.0,7.0,420.0,555.0,75.7,26.0,92.0,21.0,11.0,7.0,4.0,0.0,724.0,60.0,75.0,33.0,443.0,23.0,37.0,59.0,9.0,52.0,14.0,1.0,3.0,10.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Cyril Ngonge,be BEL,FW,Napoli,24.0,2000.0,18,1,216,2.4,0,0,0,0,0.0,2,0,0.7,0.7,0.4,7.0,8.0,36.0,13.0,6.0,68.0,87.0,78.2,3.0,11.0,8.0,5.0,2.0,4.0,0.0,145.0,10.0,21.0,7.0,93.0,6.0,5.0,12.0,0.0,8.0,8.0,1.0,4.0,6.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Hans Nicolussi Caviglia,it ITA,MF,Venezia,24.0,2000.0,35,33,2861,31.8,4,2,0,0,0.0,7,1,2.4,2.4,2.1,20.0,140.0,22.0,53.0,20.0,1119.0,1411.0,79.3,29.0,72.0,47.0,28.0,28.0,55.0,2.0,1739.0,11.0,50.0,17.0,901.0,123.0,24.0,66.0,4.0,147.0,50.0,0.0,27.0,23.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Oliver Nielsen,dk DEN,DF,Lazio,21.0,2003.0,2,0,35,0.4,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,90.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,23.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Eybi Nije,se SWE,"FW,MF",Torino,19.0,2005.0,16,0,394,4.4,1,0,0,0,0.0,1,0,1.5,1.5,0.4,10.0,7.0,26.0,9.0,5.0,63.0,95.0,66.3,4.0,6.0,5.0,1.0,0.0,1.0,0.0,167.0,14.0,19.0,7.0,108.0,4.0,7.0,9.0,1.0,12.0,12.0,1.0,12.0,17.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Brooke Norton-Cuffy,eng ENG,"DF,FW",Genoa,20.0,2004.0,14,8,719,8.0,0,0,0,0,0.0,0,0,0.3,0.3,0.2,12.0,18.0,21.0,5.0,2.0,197.0,262.0,75.2,2.0,12.0,12.0,7.0,3.0,12.0,0.0,344.0,8.0,20.0,7.0,190.0,10.0,12.0,13.0,3.0,26.0,7.0,0.0,12.0,16.0,,,,,Football Players Stats 2024-2025
